"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""White: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""White: (1, 0)""","""White: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""White: (1, 4)""","""White: (1, 5)""","""Wall: (2, 0)""","""Brown: (2, 1)""","""White: (2, 2)""","""White: (2, 3)""","""Green: (2, 4)""","""White: (2, 5)""","""Green: (3, 0)""","""White: (3, 1)""","""Brown: (3, 2)""","""White: (3, 3)""","""White: (3, 4)""","""White: (3, 5)""","""White: (4, 0)""","""Green: (4, 1)""","""White: (4, 2)""","""Brown: (4, 3)""","""Brown: (4, 4)""","""White: (4, 5)""","""White: (5, 0)""","""Wall: (5, 1)""","""Green: (5, 2)""","""Wall: (5, 3)""","""Wall: (5, 4)""","""Wall: (5, 5)"""
18.206050377198352,17.695671732350736,17.20691366355117,16.739404307533583,16.302832474565342,15.88964798202421,17.695671732350736,17.33043128882019,16.94832866184144,16.58683867480829,16.33714976695609,16.052998499610197,0,15.771972745500069,16.491062950166974,16.355784584040656,17.154407282128545,16.686928368538595,18.442609229002546,17.923810218416747,16.595540485208538,16.327133039351317,16.71406768797296,16.382130918623268,18.0745190011372,18.923352199206338,18.654072835889647,16.99465415816651,15.580211813053818,15.989634970732144,17.6085425551521,0,20.02052333365261,0,0,0
18.97346238758646,18.454566410064402,17.957385586984874,17.481547440143867,17.036743814504568,16.615423102769427,18.454566410064402,18.080903208889683,17.690471746618663,17.32074949371625,17.06295755758995,16.770795181270735,0,16.514115875311667,17.224973768797863,17.081592323064985,17.8725466191782,17.39719660627864,19.221742204153852,18.691929165067133,17.356033512597232,17.079526943618927,17.427761050751112,17.085759017140752,18.846409074523862,19.699842650902358,19.449009664350687,17.7769595832425,16.34714130344475,16.69326199271899,18.372847412943013,0,20.820318100316083,0,0,0
19.73235706193591,19.2050382853297,18.699528198007876,18.21545372927439,17.762509789422676,17.333143363342735,19.205038285329696,18.82304581514401,18.424377980307824,18.046514919585398,17.780710400763127,17.480626294396913,0,17.2480221603609,17.950739194262958,17.799345111842314,18.582720002279025,18.099586387647214,19.992366802278944,19.451793123719987,18.108395290988984,17.823903235276674,18.133570804794314,17.781586071388165,19.61003342822212,20.469120645679375,20.236053878113605,18.551440090499376,17.106331050391173,17.389175879807336,19.12897026291464,0,21.612114919312923,0,0,0
20.48282893243254,19.947180840433468,19.433433937276565,18.941214574560163,18.480220741880046,18.042898023685222,19.947180840433468,19.556951548876693,19.150138766732756,18.764225312206186,18.490497580939046,18.182580040825638,0,17.973783000818102,18.668449586405725,18.509132236547092,19.2850155015329,18.794184722323227,20.75459213022453,20.203484428141078,18.85270551007515,18.56033942435712,18.83158290129284,18.46969802837542,20.365473220454078,21.231094734136267,21.015265963734766,19.318156815248727,17.857833678893712,18.077454784784738,19.87699090265673,0,22.395993770119798,0,0,0
21.224971482000303,20.681086520285948,20.159194221763393,19.65892037242648,19.189966048920862,18.744775439131896,20.681086520285945,20.28271182748132,19.867844504373952,19.473970055752556,19.192407457650944,18.876743762443606,0,18.69148879350037,19.37819432943887,19.21104205742223,19.97952035501384,19.481077858462047,21.508523436855008,20.947086331225194,19.589044943354544,19.288914283531227,19.52188274004972,19.15018015997603,21.112810789493615,21.98570662800553,21.786709546817054,20.077173999858324,18.601713733363194,18.758180369997664,20.616990344004975,0,23.172033832418602,0,0,0
21.95887715597058,21.406846743957658,20.87689945510206,20.368660520830552,19.89183410964841,19.43886301579752,21.406846743957658,21.000417054799293,20.57758459207059,20.175837552166936,19.886527433317777,19.563203873739376,0,19.40122893657202,20.08006182532534,19.905161977169794,20.66632089308186,20.16035116665866,22.254262650397678,21.68268264000814,20.317495016728543,20.00970731497479,20.204555007340964,19.823116905558045,21.85212924344738,22.732924689616564,22.55045056553355,20.82855809807105,19.338038619001985,19.43143426911294,21.34905044892331,0,23.940313494094415,0,0,0
22.684637373621594,22.12455191598524,21.586639038130404,21.070523427426036,20.585912347275073,20.125247201106014,22.12455191598524,21.710156631757837,21.279447437834325,20.869915225819774,20.5729439496446,20.242045846527226,0,20.103091837780042,20.77413949844482,20.5915784376104,21.34550251932901,20.832089107765018,22.991908816605626,22.410357418963923,21.059543256562502,20.739751776229966,20.88136199480559,20.488757984485893,22.58351212212499,23.472738660254514,23.306556666397004,21.574055557342227,20.068372662181993,20.097577209911027,22.07325358960981,0,24.70091035915347,0,0,0
23.40234253957938,22.83429143757343,22.288501379678664,21.764596519376838,21.272287216741503,20.804013487374963,22.834291437573434,22.412018967223528,21.973520468975263,21.556289532170144,21.251742493349735,20.91335421165185,0,20.797164924327298,21.46051380426024,21.27037692551409,22.017315869334535,21.496523275930585,23.72155845568599,23.1301947517769,21.80191758605911,21.46871754396159,21.551504245829253,21.14723239533822,23.307043124358874,24.205155398206404,24.055262889048866,22.31300274515578,20.792265988056492,20.756702533706658,22.78968236523497,0,25.453901255561934,0,0,0
24.112082055084997,23.536153717702216,22.982573907436894,22.450966253793172,21.95104421430323,21.475246419931814,23.536153717702216,23.106091488901225,22.659890142667784,22.235045967744306,21.923024054733627,21.577240251239413,0,21.502624437537474,22.14116012793499,21.941845530183173,22.681919961660796,22.153803401646538,24.443305853327747,23.844168439574222,22.537743920496748,22.191123164291984,22.214577810038744,21.802085713150653,24.022805889569543,24.930211884462697,24.796568042737285,23.04479035488326,21.509151497078975,21.4115714338631,23.498419372855604,0,26.199362243006316,0,0,0
24.813944329133253,24.23022618412728,23.668943078789173,23.129718128333234,22.62226951627457,22.139033637335416,24.23022618412728,23.792460654181518,23.338829055577456,22.90643741421047,22.587013190370296,22.23390531363249,0,22.20531607612456,22.814921611041814,22.606085747752253,23.33937742126028,22.80435002928968,25.15724329838241,24.55095396041701,23.266347525194124,22.906383974114664,22.870925416677412,22.451149154860634,24.730885451948065,25.647945708468306,25.530475766732813,23.769303065823184,22.218915642593842,22.06072835121886,24.199548313768283,0,26.937368620576255,0,0,0
25.50801678948633,24.916595294265743,24.34771291436077,23.800968026885556,23.286085665251203,22.79550080302478,24.916595294265743,24.47123048369295,24.01031536109968,23.57046808968009,23.24373157259127,22.88342063789142,0,22.901359067679746,23.481406802718716,23.263068365200553,23.989701187176436,23.44796574972619,25.863461438601586,25.250242632211116,23.987642841278642,23.614417901964032,23.520334478869376,23.09346562325811,25.43136574425368,26.358395310694565,26.25703808677165,24.486562540534084,22.921543294127854,22.703269666509748,24.893152235575034,0,27.667994934370494,0,0,0
26.19438589356463,25.5953483797211,25.018960716009698,24.46478906261968,23.94256484414119,23.44472457921053,25.5953483797211,25.14247662708037,24.674377873001767,24.227165160771605,23.89320914443156,23.525797984954533,0,23.590085985880652,24.14056955617444,23.912811610922848,24.632887614557692,24.084554087942745,26.562049350475128,25.942042733937253,24.701663767677374,24.31525574499472,24.162710406186722,23.72886119339068,26.124329430016182,27.061604470232094,26.976320522087285,25.196625863760477,23.617068800429443,23.3389715733924,25.579313051216676,0,28.39131498502679,0,0,0
26.87313732075847,26.266569433714054,25.68276351181367,25.121252169472164,24.59177334309066,24.086766221580145,26.266569433714054,25.806276774866397,25.331081179425013,24.87658860836372,24.535499612631252,24.16107640384672,0,24.27143274394176,24.792456485236208,24.555367243703664,25.268973648876283,24.714130952036523,27.25309458484494,26.626421595400405,25.408471910192247,25.00895707051121,24.798071138036306,24.357329491342217,26.809858367321773,27.757622450475317,27.688392051250563,25.899559215083343,24.305549752254116,23.967812568382044,26.258111811059745,0,29.10740183517653,0,0,0
27.54435572673349,26.93034151022239,26.339201100528765,25.770433508624542,25.23378336144711,24.721692842183376,26.93034151022239,26.462711322371227,25.98050146830875,25.518811437381025,25.17067160242779,24.789318464750583,0,24.94545093724574,25.437138162814527,25.190803727763164,25.89802208369437,25.33675163793913,27.9366832534617,27.30345740212605,26.108135537381536,25.69558927694798,25.42647244834668,24.978918035516365,27.488033737703574,28.44650313388291,28.393322426007476,26.59543106210902,24.987051599049828,24.595471196233408,26.92962885885106,0,29.816327816824767,0,0,0
28.208124762031556,27.58674704195576,26.98835421154388,26.412411785197307,25.868671175299887,25.349577690223974,27.58674704195576,27.11186125974515,26.622717862779645,26.153910883104565,25.79880005205925,25.410596244719077,0,25.6122145833898,26.074691360125623,25.819196050356997,26.52010524942293,25.95248527128627,28.612900118867024,27.97322994815268,26.800724464682887,26.375221860162988,26.047983207215218,25.594250390398905,28.158936044429748,29.12830407060855,29.09118140906426,27.284310315283822,25.661642215525024,25.252803071772423,27.59394386124087,0,30.518164538656524,0,0,0
28.86452712012374,28.235867701006395,27.6303033545551,27.047266200969528,26.49651448267642,25.970496689839088,28.235867701006395,27.753807190011887,27.25780977124281,26.781965101705634,26.419961714028695,26.02498489166214,0,26.27180180734495,26.7051941267368,26.440620998790674,27.135298378245363,26.56146060849437,29.281828674309065,28.63581879197018,27.486308700540075,27.04792469092112,26.662731648621012,26.20649557005425,28.822645081441575,29.80308564648205,29.78203851483079,27.966265769360277,26.329395501883795,25.90735180303281,28.25113578902742,0,31.21298289326996,0,0,0
29.51364456642989,28.877784310823284,28.265128373626034,27.675075570876658,27.11739099560812,26.584526345090257,28.877784310823284,28.388628988296585,27.885856086266816,27.403051980720388,27.034233416742044,26.63256557446458,0,26.92429108071448,27.328724316194332,27.055155415480083,27.743682630531165,27.16406369668805,29.943551211872094,29.291302855795156,28.1649580308709,27.71376745774895,27.2711026831332,26.812783459513863,29.47923990186714,30.470910395266877,30.465962891767898,28.64136589976399,26.990411112929763,26.555698992432493,28.901282888506206,0,31.900853064337262,0,0,0
30.155557955460537,29.512576817337614,28.892908300860785,28.295918001889852,27.73137787431943,27.191743376496923,29.512576817337617,29.01640569678823,28.50693494094474,28.017248741547856,27.641691993286113,27.23344495892792,0,27.569760386083736,27.94535913758305,27.662876138349215,28.345364574538095,27.760105356459913,30.598148880062887,29.93976032036352,28.83674186031331,28.372819515141355,27.909514849051273,27.44160039098896,30.12879879242608,31.13184243978657,31.14302325257062,29.309678772111567,27.648358257748487,27.20323237909553,29.544462655525685,0,32.58184453369389,0,0,0
